"Id","Title","EIC Programme"
"H2020_BG-12-2014-1","Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth","SME Instrument"
"H2020_BG-12-2015-1","Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth","SME Instrument"
"H2020_BIOTEC-5a-2014-1","SME boosting biotechnology-based industrial processes driving competitiveness and sustainability","SME Instrument"
"H2020_BIOTEC-5b-2015","SME boosting biotechnology-based industrial processes driving competitiveness and sustainability","SME Instrument"
"H2020_BIOTEC-5b-2015-1","SME boosting biotechnology-based industrial processes driving competitiveness and sustainability","SME Instrument"
"H2020_DRS-17-2014","Critical infrastructure protection topic 7: SME instrument topic: â€œProtection of Urban soft targets and urban critical infrastructuresâ€","SME Instrument"
"H2020_DRS-17-2014-1","Critical infrastructure protection topic 7: SME instrument topic: â€œProtection of Urban soft targets and urban critical infrastructuresâ€","SME Instrument"
"H2020_DRS-17-2015","Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures","SME Instrument"
"H2020_DRS-17-2015-1","Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures","SME Instrument"
"H2020_EIC-FTI-2018-2020","Fast Track to Innovation (FTI)","Fast Track to Innovation"
"H2020_EIC-SMEInst-2018-2020","SME instrument","SME Instrument"
"H2020_FETHPC-1-2014","HPC Core Technologies, Programming Environments and Algorithms for Extreme Parallelism and Extreme Data Applications","FET programme"
"H2020_FETHPC-2-2014","HPC Ecosystem Development","FET programme"
"H2020_FETOPEN-01-2016-2017","FET-Open research and innovation actions","FET programme"
"H2020_FETOPEN-01-2018-2019-2020","FET-Open Challenging Current Thinking","FET programme"
"H2020_FETOPEN-02-2016","FET-Open Coordination and Support Actions","FET programme"
"H2020_FETOPEN-02-2018","FET-Open Coordination and Support Actions","FET programme"
"H2020_FETOPEN-03-2017","FET-Open Coordination and Support Actions","FET programme"
"H2020_FETOPEN-03-2018-2019-2020","FET Innovation Launchpad","FET programme"
"H2020_FETOPEN-04-2016-2017","FET Innovation Launchpad","FET programme"
"H2020_FETOPEN-2-2014","Coordination and Support Activities","FET programme"
"H2020_FETOPEN-CSA-FETEXCHANGE-2015","FET Exchange Coordination and Support Activities 2015","FET programme"
"H2020_FETOPEN-CSA-FETTAKEUP-2015","FET Take-Up Coordination and Support Activities 2015","FET programme"
"H2020_FETOPEN-RIA-2014-2015","FET-Open research projects","FET programme"
"H2020_FETPROACT-01-2016","FET Proactive: emerging themes and communities","FET programme"
"H2020_FETPROACT-01-2018","FET Proactive: emerging paradigms and communities","FET programme"
"H2020_FETPROACT-02-2018","Community building in Neuromorphic Computing Technologies","FET programme"
"H2020_FETPROACT-03-2018","FET ERA-NET Cofund","FET programme"
"H2020_FETPROACT-04-2019","Community building and roadmapping for high performance and smart electrochemical energy storage","FET programme"
"H2020_FETPROACT-09-2020","Neuromorphic computing technologies","FET programme"
"H2020_FETPROACT-1-2014","Global Systems Science (GSS)","FET programme"
"H2020_FETPROACT-2-2014","Knowing, doing, being: cognition beyond problem solving","FET programme"
"H2020_FETPROACT-3-2014","Quantum simulation","FET programme"
"H2020_FETPROACT-EIC-05-2019","FET Proactive: emerging paradigms and communities","FET programme"
"H2020_FETPROACT-EIC-06-2019","EIC Transition to Innovation Activities","FET programme"
"H2020_FETPROACT-EIC-07-2020","FET Proactive: emerging paradigms and communities","FET programme"
